ID,Latitude,Longitude,n,date_min,date_max,mins,hours,days
2,-18.6532,34.2974,2,2021-01-24 16:31:49 UTC,2021-01-25 16:38:32 UTC,1440,24,1
2,-18.6507,34.2465,3,2021-02-20 11:29:40 UTC,2021-02-21 3:34:10 UTC,1440,24,1
2,-18.6493,34.3023,3,2021-02-05 17:51:01 UTC,2021-02-06 1:53:40 UTC,1440,24,1
1,-18.6475,34.3104,2,2021-02-01 21:26:01 UTC,2021-02-03 21:39:32 UTC,2880,48,2
1,-18.6424,34.6827,4,2021-07-13 18:00:31 UTC,2021-07-14 2:00:50 UTC,1440,24,1
1,-18.6308,34.3169,3,2021-02-16 19:05:10 UTC,2021-02-17 3:07:20 UTC,1440,24,1
3,-18.6302,34.302,2,2020-12-11 3:39:32 UTC,2020-12-12 15:48:48 UTC,1440,24,1
2,-18.5988,34.5029,2,2020-12-24 23:00:25 UTC,2020-12-25 3:00:31 UTC,1440,24,1
2,-18.5966,34.5322,2,2021-10-14 22:00:40 UTC,2021-10-16 22:00:30 UTC,2880,48,2
1,-18.596,34.5315,2,2021-10-15 6:00:20 UTC,2021-10-17 6:00:40 UTC,2880,48,2
1,-18.5889,34.39,2,2021-10-04 22:00:32 UTC,2021-10-05 4:00:23 UTC,1440,24,1
3,-18.5851,34.457,2,2021-06-16 22:00:32 UTC,2021-06-17 6:05:10 UTC,1440,24,1
1,-18.585,34.4569,2,2021-06-16 18:05:25 UTC,2021-06-17 22:00:32 UTC,1440,24,1
1,-18.5845,34.4844,2,2020-10-18 23:00:20 UTC,2020-10-19 3:00:31 UTC,1440,24,1
3,-18.5837,34.5231,2,2021-05-30 2:00:26 UTC,2021-05-31 6:00:40 UTC,1440,24,1
4,-18.5837,34.5232,3,2021-05-29 22:00:10 UTC,2021-05-30 22:00:31 UTC,1440,24,1
2,-18.5836,34.5231,2,2021-05-30 6:00:01 UTC,2021-05-31 2:00:32 UTC,1440,24,1
2,-18.5805,34.5067,4,2021-03-19 22:34:32 UTC,2021-03-20 3:36:02 UTC,1440,24,1
2,-18.5771,34.4999,3,2021-02-16 0:47:39 UTC,2021-02-17 8:57:03 UTC,1440,24,1
3,-18.5771,34.5,2,2021-02-15 23:47:21 UTC,2021-02-16 4:48:32 UTC,1440,24,1
4,-18.577,34.4999,2,2021-02-16 2:48:32 UTC,2021-02-17 22:01:08 UTC,1440,24,1
4,-18.5766,34.5,2,2021-02-18 16:06:20 UTC,2021-02-19 0:08:30 UTC,1440,24,1
1,-18.5765,34.5,5,2021-02-18 14:05:50 UTC,2021-02-19 1:09:35 UTC,1440,24,1
3,-18.5764,34.4998,2,2021-02-18 15:05:50 UTC,2021-02-19 6:10:19 UTC,1440,24,1
2,-18.5701,34.5184,3,2021-02-12 17:59:43 UTC,2021-02-13 0:02:46 UTC,1440,24,1
3,-18.5648,34.4893,2,2021-06-20 22:00:10 UTC,2021-06-21 2:00:20 UTC,1440,24,1
1,-18.5646,34.494,2,2021-02-21 21:29:02 UTC,2021-02-22 1:30:20 UTC,1440,24,1
2,-18.5629,34.4976,2,2021-03-14 23:59:26 UTC,2021-03-15 6:00:31 UTC,1440,24,1
4,-18.5621,34.5002,2,2021-03-15 18:04:25 UTC,2021-03-16 0:05:42 UTC,1440,24,1
3,-18.5604,34.5011,6,2021-03-16 14:11:06 UTC,2021-03-17 2:14:02 UTC,1440,24,1
4,-18.5603,34.5012,2,2021-03-16 21:12:08 UTC,2021-03-17 3:13:50 UTC,1440,24,1
5,-18.5602,34.5009,2,2021-02-10 11:44:02 UTC,2021-03-16 5:08:09 UTC,48960,816,34
2,-18.5565,34.4956,3,2021-02-08 15:30:32 UTC,2021-02-09 4:34:50 UTC,1440,24,1
3,-18.5564,34.4956,4,2021-02-07 21:24:58 UTC,2021-02-08 5:27:19 UTC,1440,24,1
2,-18.5563,34.4956,2,2021-02-08 2:27:02 UTC,2021-02-09 0:34:11 UTC,1440,24,1
2,-18.5553,34.4802,2,2021-01-26 23:05:02 UTC,2021-01-27 4:06:20 UTC,1440,24,1
2,-18.5526,34.4843,2,2021-01-29 20:24:48 UTC,2021-01-30 0:26:02 UTC,1440,24,1
3,-18.5526,34.4844,4,2021-01-29 19:24:10 UTC,2021-01-30 4:27:01 UTC,1440,24,1
3,-18.5525,34.4844,3,2021-01-29 14:22:30 UTC,2021-01-30 5:27:10 UTC,1440,24,1
4,-18.5506,34.4826,3,2021-01-30 23:30:32 UTC,2021-01-31 2:31:38 UTC,1440,24,1
5,-18.5505,34.4826,2,2021-01-30 20:29:32 UTC,2021-01-31 1:31:02 UTC,1440,24,1
1,-18.55,34.4822,2,2021-01-28 17:16:31 UTC,2021-01-31 10:33:22 UTC,4320,72,3
4,-18.5465,34.4883,2,2021-06-19 22:00:53 UTC,2021-06-20 2:00:26 UTC,1440,24,1
1,-18.5447,34.3322,2,2020-12-15 0:04:32 UTC,2020-12-27 5:25:01 UTC,17280,288,12
